M01.X41,711.74,4
M01.X42,711.74,4
M01.X49,711.74,4
M01.X51,711.75,4
M01.X52,711.75,4
M01.X59,711.75,4
M01.X61,711.76,4
M01.X62,711.76,4
M01.X69,711.76,4
M01.X71,711.77,4
M01.X72,711.77,4
M01.X79,711.77,4
M01.X8,711.78,4
M01.X9,711.79,4
M43.8X9,737.9,4
M84.40XD,V54.29,4
M86.9,730.98,4
M96.1,722.83,4
N13.9,592.9,4
N50.8,608.89,4
N89.8,623.8,4
N94.89,629.1,4
O11.1,642.73,4
O11.2,642.73,4
O11.3,642.73,4
O12.01,646.14,4
O12.02,646.14,4
O12.03,646.14,4
O12.21,646.23,4
O12.22,646.23,4
O12.23,646.23,4
O13.1,642.34,4
O13.2,642.34,4
O13.3,642.34,4
O14.12,642.54,4
O14.13,642.54,4
O14.22,642.54,4
O14.23,642.54,4
O15.2,642.74,4
O22.11,671.14,4
O22.12,671.14,4
O22.13,671.14,4
O26.51,669.24,4
O26.52,669.24,4
O26.53,669.24,4
O26.841,649.64,4
O26.842,649.64,4
O26.843,649.64,4
O26.893,679.03,4
O30.101,651.13,4
O30.102,651.13,4
O30.103,651.13,4
O30.201,651.23,4
O30.202,651.23,4
O30.203,651.23,4
O30.801,651.83,4
O30.802,651.83,4
O30.803,651.83,4
O31.11X0,651.63,4
O31.11X1,651.63,4
O31.11X2,651.63,4
O31.12X0,651.63,4
O31.12X1,651.63,4
O31.12X2,651.63,4
O31.13X0,651.63,4
O31.13X1,651.63,4
O31.13X2,651.63,4
O31.21X0,651.63,4
O31.21X1,651.63,4
O31.21X2,651.63,4
O31.22X0,651.63,4
O31.22X1,651.63,4
O31.22X2,651.63,4
O31.23X0,651.63,4
O31.23X1,651.63,4
O31.23X2,651.63,4
O34.01,654.04,4
O34.02,654.04,4
O34.03,654.04,4
O34.11,654.14,4
O34.12,654.14,4
O34.13,654.14,4
O34.31,654.54,4
O34.32,654.54,4
O34.33,654.54,4
O34.41,654.64,4
O34.42,654.64,4
O34.43,654.64,4
O34.511,654.34,4
O34.512,654.34,4
O34.513,654.34,4
O34.531,654.34,4
O34.532,654.34,4
O34.533,654.34,4
O34.591,654.44,4
O34.592,654.44,4
O34.593,654.44,4
O34.61,654.74,4
O34.62,654.74,4
O34.63,654.74,4
O34.71,654.84,4
O34.72,654.84,4
O34.73,654.84,4
O34.81,654.94,4
O34.82,654.94,4
O34.83,654.94,4
O34.91,654.94,4
O34.92,654.94,4
O34.93,654.94,4
O35.7XX0,679.13,4
O35.7XX1,679.13,4
O35.7XX2,679.13,4
O35.7XX3,679.13,4
O35.7XX4,679.13,4
O35.7XX5,679.13,4
O35.7XX9,679.13,4
O71.7,665.72,4
O75.89,669.84,4
O75.9,669.94,4
O90.89,674.82,4
Q15.0,743.22,4
Q38.3,750.13,4
Q38.4,750.24,4
Q66.89,755.67,4
Q72.70,755.69,4
Q74.0,755.57,4
Q76.49,756.19,4
Q79.8,756.9,4
S01.532A,873.64,4
S01.542A,873.74,4
S01.552A,873.64,4
S09.301A,872.72,4
S09.302A,872.72,4
S09.311A,872.72,4
S09.312A,872.72,4
S09.313A,872.72,4
S09.319A,872.72,4
S09.391A,872.69,4
S09.392A,872.69,4
S09.399A,872.69,4
S15.019A,900.03,4
S15.029A,900.03,4
S15.099A,900.03,4
S22.41XA,807.05,4
S22.41XB,807.15,4
S22.42XA,807.05,4
S22.42XB,807.15,4
S22.43XA,807.05,4
S22.43XB,807.15,4
S35.291A,902.23,4
S35.292A,902.23,4
S35.298A,902.23,4
S36.899A,868.09,4
S41.009A,884,4
S41.029A,884.1,4
S43.80XA,840.6,4
S43.81XA,840.6,4
S43.82XA,840.6,4
S47.1XXA,927.03,4
S47.2XXA,927.03,4
S77.20XA,929.9,4
T15.80XA,E914,4
T15.81XA,E914,4
T15.82XA,E914,4
T21.31XA,942.42,4
T21.71XA,942.42,4
T41.0X1A,E855.1,4
T42.2X1A,E855.8,4
T42.2X2A,E950.4,4
T42.2X3A,E962.0,4
T42.2X4A,E980.4,4
